Timestamp,sessionId,levelId,shotsFired,correctHits,accuracyPercent,timeTakenSec,completed,pauseClicks
10/23/2025 16:39:03,9c457de045f1406dbdba14b59ae5b4af,LvL1,8,2,25,30.07,0,0
10/23/2025 16:40:56,9c457de045f1406dbdba14b59ae5b4af,LvL1,5,2,40,32.2,0,2
10/23/2025 17:51:51,95a94a9be19544878add9f46b829e7c6,LvL1,4,1,25,22.38,0,1
10/23/2025 20:08:45,babc5b73b497404197b7def356a80661,LvL1,0,0,0,60,0,0
10/23/2025 21:31:52,e13b774ccc9a49258c21bb1e90e2d4bc,LvL1,5,1,20,15.42,0,0
10/23/2025 21:33:14,e13b774ccc9a49258c21bb1e90e2d4bc,LvL1,5,2,40,9.63,0,3
10/23/2025 21:34:52,9827349d7e3c4b2eac23e13ae1fbea3a,LvL1,11,2,18.18,18.97,0,0
10/23/2025 21:39:08,592bbbe9aca648d6883d187134a9f64b,LvL1,5,4,80,60.01,0,0
10/23/2025 21:39:11,564995c71a084b6f8a64c73e4cb30a24,LvL1,4,1,25,26.32,0,0
10/23/2025 21:41:16,6b189244bec64e83a603cf4b878d3655,LvL1,4,0,0,53.61,0,0
10/23/2025 21:44:35,2c68f52ad89e4fa6a0ffd017bc6d9a4e,LvL1,9,3,33.33,50.18,0,0
10/23/2025 21:45:27,2c68f52ad89e4fa6a0ffd017bc6d9a4e,LvL1,8,3,37.5,36.58,0,0
10/23/2025 21:46:10,2c68f52ad89e4fa6a0ffd017bc6d9a4e,LvL1,7,4,57.14,29.87,1,0
10/23/2025 21:46:54,2c68f52ad89e4fa6a0ffd017bc6d9a4e,LvL1,10,3,30,24.95,0,2
10/23/2025 21:47:46,8275243f6c1f4c668ef78988cf8e09c1,LvL1,0,0,0,60.01,0,0
10/23/2025 21:49:34,8275243f6c1f4c668ef78988cf8e09c1,LvL1,0,0,0,60.01,0,0
10/23/2025 21:51:26,8275243f6c1f4c668ef78988cf8e09c1,LvL1,5,4,80,60.01,0,0
10/23/2025 21:52:19,8275243f6c1f4c668ef78988cf8e09c1,LvL1,5,1,20,28.17,0,0
10/23/2025 21:52:47,f3f705a5a547408295e19a2a7d025feb,LvL1,5,4,80,60.01,0,0
10/23/2025 21:53:43,8275243f6c1f4c668ef78988cf8e09c1,LvL1,5,3,60,60.01,0,0
10/23/2025 21:54:12,f3f705a5a547408295e19a2a7d025feb,LvL1,4,3,75,60.01,0,0
10/23/2025 21:55:32,f3f705a5a547408295e19a2a7d025feb,LvL1,7,2,28.57,60.01,0,0
10/23/2025 21:58:38,f3f705a5a547408295e19a2a7d025feb,LvL1,4,4,100,33.67,1,0
10/23/2025 22:02:15,1682aec1d0454455a8c2a42c2d58c315,LvL1,8,5,62.5,55.5,1,0
10/23/2025 22:03:02,1682aec1d0454455a8c2a42c2d58c315,LvL1,6,1,16.67,27.78,0,1
10/23/2025 22:04:16,1682aec1d0454455a8c2a42c2d58c315,LvL1,7,4,57.14,60.02,0,1
10/23/2025 22:05:03,1682aec1d0454455a8c2a42c2d58c315,LvL1,5,4,80,31.25,1,1
10/23/2025 22:05:46,4bd37329e17a4c838d1e5d68e3321dd7,LvL1,5,0,0,23.33,0,0
10/23/2025 22:07:07,4bd37329e17a4c838d1e5d68e3321dd7,LvL1,4,2,50,60,0,0
10/23/2025 22:07:47,4bd37329e17a4c838d1e5d68e3321dd7,LvL1,5,4,80,23.57,1,0
10/23/2025 22:12:24,4bd37329e17a4c838d1e5d68e3321dd7,LvL1,8,4,50,60,0,0